Tournament,Stage,Group,Home,Result,Away
Brazil 2014,Group stage,Group B,Australia,0–3,Spain
Brazil 2014,Group stage,Group B,Netherlands,2–0,Chile
Brazil 2014,Group stage,Group C,Colombia,3–0,Greece
Brazil 2014,Group stage,Group C,Ivory Coast,2–1,Japan
Brazil 2014,Group stage,Group C,Colombia,2–1,Ivory Coast
Brazil 2014,Group stage,Group C,Japan,0–0,Greece
Brazil 2014,Group stage,Group C,Japan,1–4,Colombia
Brazil 2014,Group stage,Group C,Greece,2–1,Ivory Coast
Brazil 2014,Group stage,Group D,Uruguay,1–3,Costa Rica
Brazil 2014,Group stage,Group D,England,1–2,Italy
Brazil 2014,Group stage,Group D,Uruguay,2–1,England
Brazil 2014,Group stage,Group D,Italy,0–1,Costa Rica
Brazil 2014,Group stage,Group D,Italy,0–1,Uruguay
Brazil 2014,Group stage,Group D,Costa Rica,0–0,England
Brazil 2014,Group stage,Group E,Switzerland,2–1,Ecuador
Brazil 2014,Group stage,Group E,France,3–0,Honduras
Brazil 2014,Group stage,Group E,Switzerland,2–5,France
Brazil 2014,Group stage,Group E,Honduras,1–2,Ecuador
Brazil 2014,Group stage,Group E,Honduras,0–3,Switzerland
Brazil 2014,Group stage,Group E,Ecuador,0–0,France
Brazil 2014,Group stage,Group F,Argentina,2–1,Bosnia and Herzegovina
Brazil 2014,Group stage,Group F,Iran,0–0,Nigeria
Brazil 2014,Group stage,Group F,Argentina,1–0,Iran
Brazil 2014,Group stage,Group F,Nigeria,1–0,Bosnia and Herzegovina
Brazil 2014,Group stage,Group F,Nigeria,2–3,Argentina
Brazil 2014,Group stage,Group F,Bosnia and Herzegovina,3–1,Iran
Brazil 2014,Group stage,Group G,Germany,4–0,Portugal
Brazil 2014,Group stage,Group G,Ghana,1–2,United States
Brazil 2014,Group stage,Group G,Germany,2–2,Ghana
Brazil 2014,Group stage,Group G,United States,2–2,Portugal
Brazil 2014,Group stage,Group G,United States,0–1,Germany
Brazil 2014,Group stage,Group G,Portugal,2–1,Ghana
Brazil 2014,Group stage,Group H,Belgium,2–1,Algeria
Brazil 2014,Group stage,Group H,Russia,1–1,South Korea
Brazil 2014,Group stage,Group H,Belgium,1–0,Russia
Brazil 2014,Group stage,Group H,South Korea,2–4,Algeria
Brazil 2014,Group stage,Group H,South Korea,0–1,Belgium
Brazil 2014,Group stage,Group H,Algeria,1–1,Russia
Brazil 2014,Round of 16,Knockout Stage,Brazil,1–1 (a.e.t.),Chile
Brazil 2014,Round of 16,Knockout Stage,Colombia,2–0,Uruguay
Brazil 2014,Round of 16,Knockout Stage,Netherlands,2–1,Mexico
Brazil 2014,Round of 16,Knockout Stage,Costa Rica,1–1 (a.e.t.),Greece
Brazil 2014,Round of 16,Knockout Stage,France,2–0,Nigeria
Brazil 2014,Round of 16,Knockout Stage,Germany,2–1 (a.e.t.),Algeria
Brazil 2014,Round of 16,Knockout Stage,Argentina,1–0 (a.e.t.),Switzerland
Brazil 2014,Round of 16,Knockout Stage,Belgium,2–1 (a.e.t.),United States
Brazil 2014,Quarter-finals,Knockout Stage,France,0–1,Germany
Brazil 2014,Quarter-finals,Knockout Stage,Brazil,2–1,Colombia
Brazil 2014,Quarter-finals,Knockout Stage,Argentina,1–0,Belgium
Brazil 2014,Quarter-finals,Knockout Stage,Netherlands,0–0 (a.e.t.),Costa Rica
Brazil 2014,Semi-finals,Knockout Stage,Brazil,1–7,Germany
Brazil 2014,Semi-finals,Knockout Stage,Netherlands,0–0 (a.e.t.),Argentina
